District,Sishu No.,Sishu amt,Kishore no,Kishore Amt,Tarun No.,Tarun Amt,Total MUDRA Disb No.,Total MUDRA Disb Amt
Chumoukedima,938,328.74,2469,3469.67,148,1129.08,3555,4927.49
Dimapur,2926,1160.47,3720,6840.82,775,5963.37,7421,13964.66
Kiphire,135,27.35,219,526.42,7,58.72,361,612.49
Kohima,1210,495.76,2790,3915.92,383,2836.23,4383,7247.91
Longleng,29,5.40,153,527.97,48,316.17,230,849.54
Mokokchung,378,169.19,445,1289.14,216,1526.15,1039,2984.48
Mon,84,31.27,382,1180.43,133,958.78,599,2170.48
Niuland,42,18.80,77,203.96,11,71.55,130,294.31
Noklak,0,0.00,26,92.54,10,66.64,36,159.18
Peren,32,14.94,364,935.82,80,636.85,476,1587.61
Phek,196,42.46,423,1256.68,63,447.02,682,1746.16
Shamator,28,13.08,46,138.48,10,63.21,84,214.77
Tseminyu,72,23.87,95,304.30,12,95.43,179,423.60
Tuensang,60,18.30,151,482.00,58,400.78,269,901.08
Wokha,215,125.59,254,787.57,159,1101.05,628,2014.21
Zunheboto,118,146.03,245,746.98,87,634.44,450,1527.45
