District,Crop No.,Crop Amt,Term Loan No.,Term Loan Amt,Agri Infra No.,Agri Infra Amt,Ancillary No.,Ancillary Amt,Total Agri (PS) NPA No.,Total Agri (PS) NPA Amt
Chumoukedima,158,96.89,71,115.35,0,0,38,34.22,267,246.46
Dimapur,1456,954.89,665,952.97,1,5.22,52,225,2174,2138.08
Kiphire,71,29.94,18,29.19,0,0,1,1.4,90,60.53
Kohima,376,196.88,277,558.11,0,0,18,54.93,671,809.92
Longleng,185,34.61,1,0.95,0,0,4,7.99,190,43.55
Mokokchung,650,543.08,359,413,0,0,21,42.02,1030,998.1
Mon,105,34.71,58,81.71,0,0,9,11.42,172,127.84
Niuland,10,2.08,0,0,0,0,2,4.32,12,6.4
Noklak,9,3.33,1,2.98,0,0,0,0,10,6.31
Peren,362,253.87,37,75.2,0,0,15,33.3,414,362.37
Phek,640,386.17,120,154.48,0,0,26,44.22,786,584.87
Shamator,2,0.46,0,0,0,0,0,0,2,0.46
Tseminyu,72,40.69,3,3.55,0,0,1,0.52,76,44.76
Tuensang,163,71.72,64,78.36,0,0,4,3.71,231,153.79
Wokha,167,81.4,102,91.31,0,0,1,0.07,270,172.78
Zunheboto,332,144.74,44,54.92,0,0,1,0.72,377,200.38
