district,Farm Credit Crop No,Farm Credit Crop Amt,Farm Credit Term Loan No,Farm Credit Term Loan Amt,Agri Infra No,Agri Infra Amt,Ancillary No,Ancillary Amt,Agri Total O/S No.,Agri Total O/S Amount
Chumoukedima,2693,1687.64,646,989.42,0,0.00,110,160.24,3449,2837.30
Dimapur,4214,43979.83,3433,5962.98,3,1.19,349,2042.79,7999,51986.79
Kiphire,2336,1411.97,182,302.85,0,0.00,18,40.10,2536,1754.92
Kohima,2228,1535.36,1077,2650.01,14,112.62,263,610.17,3582,4908.16
Longleng,876,469.66,81,64.95,0,0.00,28,61.82,985,596.43
Mokokchung,7945,6216.68,1758,2690.66,0,0.00,128,502.72,9831,9410.06
Mon,2787,1820.44,622,726.64,0,0.00,26,43.05,3435,2590.13
Niuland,264,178.01,60,171.46,0,0.00,13,33.32,337,382.79
Noklak,374,193.42,16,25.78,0,0.00,2,2.68,392,221.88
Peren,2693,1484.43,371,1189.54,0,0.00,191,425.18,3255,3099.15
Phek,4420,2660.61,488,1005.04,0,0.00,62,116.10,4970,3781.75
Shamator,313,136.64,53,50.18,0,0.00,0,0.00,366,186.82
Tseminyu,489,346.59,37,130.01,0,0.00,3,6.70,529,483.30
Tuensang,3937,2379.00,323,608.04,0,0.00,15,34.57,4275,3021.61
Wokha,4178,2535.60,474,746.15,0,0.00,51,219.96,4703,3501.71
Zunheboto,4236,2610.66,195,310.41,0,0.00,27,75.38,4458,2996.45
