District,Agri NPS No.,Agri NPS Amt,Education NPS No.,Education NPS Amt,Housing NPS No.,Housing NPS Amt,Personal Loan No.,Personal Loan Amt,Other NPS No.,Other NPS Amt,Tot Non Prio Sec NPA No.,Tot Non Prio Sec NPA Amt
Chumoukedima,0,0.00,0,0.00,1,34.79,162,288.69,580,499.69,743,823.17
Dimapur,0,0.00,1,27.08,13,306.83,449,921.25,2117,2667.72,2580,3922.88
Kiphire,0,0.00,0,0.00,0,0.00,30,98.97,49,91.64,79,190.61
Kohima,0,0.00,0,0.00,6,104.96,289,477.99,719,1020.69,1014,1603.64
Longleng,0,0.00,0,0.00,0,0.00,3,3.30,11,15.32,14,18.62
Mokokchung,0,0.00,0,0.00,0,0.00,208,521.10,176,183.87,384,704.97
Mon,0,0.00,0,0.00,0,0.00,94,295.32,60,133.17,154,428.49
Niuland,0,0.00,0,0.00,0,0.00,2,2.41,39,59.14,41,61.55
Noklak,0,0.00,0,0.00,0,0.00,1,0.40,9,5.53,10,5.93
Peren,0,0.00,0,0.00,0,0.00,62,208.89,55,160.09,117,368.98
Phek,0,0.00,0,0.00,0,0.00,96,229.93,52,162.60,148,392.53
Shamator,0,0.00,0,0.00,0,0.00,0,0.00,5,7.46,5,7.46
Tseminyu,0,0.00,0,0.00,0,0.00,2,4.83,7,7.42,9,12.25
Tuensang,0,0.00,0,0.00,0,0.00,43,93.17,58,136.85,101,230.02
Wokha,0,0.00,0,0.00,0,0.00,150,385.37,113,130.13,263,515.50
Zunheboto,0,0.00,0,0.00,0,0.00,164,416.41,62,103.11,226,519.52
