District,Micro No.,Micro Amt,Small No.,Small Amt,Medium No.,Medium Amt,KVIC No.,KVIC Amt,Other MSME No.,Other MSME Amt,Tot MSME (PS) NPA No.,Tot MSME (PS) NPA Amt
Chumoukedima,394,334.54,6,31.29,0,0.00,0,0.00,0,0.00,400,365.83
Dimapur,1985,5281.82,54,1291.82,0,0.00,8,18.93,8,10.82,2055,6603.39
Kiphire,74,77.94,0,0.00,0,0.00,0,0.00,0,0.00,74,77.94
Kohima,856,1812.83,17,515.16,2,0.54,31,74.01,7,9.70,913,2412.24
Longleng,46,54.93,0,0.00,0,0.00,0,0.00,0,0.00,46,54.93
Mokokchung,253,894.78,12,22.96,0,0.00,0,0.00,0,0.00,265,917.74
Mon,188,229.61,1,4.36,0,0.00,1,2.46,0,0.00,190,236.43
Niuland,17,17.39,0,0.00,0,0.00,0,0.00,0,0.00,17,17.39
Noklak,4,0.83,0,0.00,0,0.00,0,0.00,0,0.00,4,0.83
Peren,112,129.55,0,0.00,0,0.00,0,0.00,0,0.00,112,129.55
Phek,235,576.99,2,18.48,0,0.00,0,0.00,0,0.00,237,595.47
Shamator,2,0.80,0,0.00,0,0.00,0,0.00,0,0.00,2,0.80
Tseminyu,40,113.23,0,0.00,0,0.00,0,0.00,0,0.00,40,113.23
Tuensang,64,39.02,2,3.65,0,0.00,0,0.00,0,0.00,66,42.67
Wokha,128,193.30,1,2.55,0,0.00,12,17.50,0,0.00,141,213.35
Zunheboto,93,152.45,0,0.00,0,0.00,0,0.00,1,2.43,94,154.88
