district,BHIM/UPI A/c,BHIM/UPI Amt.,BHIM Aadhaar A/C,BHIM Aadhaar Amt.,Bharat QR Code A/C,Bharat QR Code Amt.,IMPS A/C,IMPS Amt.,Cards (Debit & Credit) A/C,Cards (Debit & Credit) Amt.,USSD A/C,USSD Amt.
Chumoukedima,26859171,499814.08,89,763.92,4405,1041.69,73228,808839.58,73411,4588.63,125979,3798.58
Dimapur,57023028,1380910.35,445,614.61,63775,4516.80,642541,4422383.33,614850,36674.52,254728,7644.10
Kiphire,4240446,59935.60,52,123.28,0,0.00,65,2.93,1165,68.11,9499,321.96
Kohima,29375219,723184.45,1199,215.37,11161,2401.45,177360,2201770.54,325428,19049.78,160104,5066.49
Longleng,2946092,39285.70,39,31.96,0,0.00,58,2.27,738,16.48,3673,124.43
Mokokchung,15578487,280544.17,19,12.81,695,397.89,37558,264201.62,113052,5282.85,45844,1362.75
Mon,11487365,175295.58,222,856.13,463,103.46,7280,256927.52,16892,1131.44,22024,586.43
Niuland,1241580,15426.55,3,24.68,0,0.00,4,0.02,1333,120.37,2412,104.70
Noklak,1147925,15074.62,34,52.32,0,0.00,14,0.08,399,23.33,2137,60.52
Peren,5390128,70041.67,34,45.03,0,0.00,1016,564.88,4357,110.92,10783,323.21
Phek,7193900,119152.74,20,4.15,0,0.00,76,1.71,5944,252.46,17615,620.93
Shamator,694596,10569.74,13,7.68,0,0.00,1,0.01,1733,45.78,1331,34.47
Tseminyu,1699977,24636.81,0,0.00,0,0.00,4027,722.66,13085,449.89,6745,185.43
Tuensang,7766854,114454.40,23,22.22,0,0.00,478,490.27,3410,181.42,18817,542.12
Wokha,9652181,190593.78,82,136.55,736,428.28,17245,176048.21,28891,1516.18,25258,752.42
Zunheboto,6496687,111516.84,20,33.99,332,104.02,2088,180793.52,6087,565.96,17821,611.48
