district,CY SANCTION A/C No.,CY SANCTION Amt.,CY DISBURSED A/C No.,CY DISBURSED Amt.,PMEGP O/S No.,PMEGP O/S Amt.,PMEGP NPA No.,PMEGP NPA Amt.,PMEGP NPA Amt. %
Chumoukedima,59,262.56,58,239.73,269,705.37,44,129.38,18.34
Dimapur,263,2598.41,184,1199.63,795,2405.46,305,830.13,34.51
Kiphire,49,164.75,49,146.82,307,587.82,26,47.00,8.00
Kohima,209,1468.52,148,652.73,614,1429.16,150,236.51,16.55
Longleng,3,15.20,3,13.07,130,242.05,4,6.55,2.71
Mokokchung,62,542.13,17,102.65,304,1055.60,191,681.04,64.52
Mon,88,488.07,41,140.34,295,666.63,13,19.12,2.87
Niuland,24,72.39,24,59.43,85,211.92,16,42.87,20.23
Noklak,5,26.29,5,22.52,56,121.18,0,0.00,0.00
Peren,19,78.39,21,75.42,207,471.24,28,62.82,13.33
Phek,103,340.47,103,314.45,388,1068.65,176,505.22,47.28
Shamator,10,39.71,10,34.41,24,55.81,0,0.00,0.00
Tseminyu,41,125.46,42,125.47,68,170.62,7,22.39,13.12
Tuensang,39,161.74,39,143.20,260,526.61,6,11.67,2.22
Wokha,91,605.96,59,276.00,186,550.85,32,46.56,8.45
Zunheboto,120,535.36,48,193.60,222,567.94,27,27.26,4.80
