District,Micro No.,Micro Amt,Small No.,Small Amt,Medium No.,Medium Amt,Other Msme No.,Other Msme Amt,Msme Total O/S No.,Msme Total O/S Amt
Chumoukedima,2617,4826.60,92,1713.36,17,269.32,0,0.00,2726,6809.28
Dimapur,9372,57063.17,1386,27146.36,90,9539.99,253,628.37,11101,94377.89
Kiphire,651,956.06,25,29.31,0,0.00,5,1.37,681,986.74
Kohima,6091,23592.59,275,7452.73,10,112.63,122,192.84,6498,31350.79
Longleng,374,902.95,45,37.18,0,0.00,17,26.47,436,966.60
Mokokchung,1891,6535.37,102,648.20,2,12.77,78,261.65,2073,7457.99
Mon,1358,2580.64,135,359.51,0,0.00,9,7.20,1502,2947.35
Niuland,235,389.98,4,22.15,0,0.00,73,150.34,312,562.47
Noklak,73,206.50,25,19.34,0,0.00,0,0.00,98,225.84
Peren,601,1232.96,19,50.00,0,0.00,0,0.00,620,1282.96
Phek,932,2073.60,23,42.66,4,9.64,1,0.02,960,2125.92
Shamator,110,305.73,9,3.34,0,0.00,0,0.00,119,309.07
Tseminyu,220,596.80,25,86.44,0,0.00,0,0.00,245,683.24
Tuensang,581,1281.66,139,250.29,2,5.56,0,0.00,722,1537.51
Wokha,936,3239.31,158,845.62,1,0.15,31,67.94,1126,4153.02
Zunheboto,805,3013.73,99,161.59,0,0.00,35,96.60,939,3271.92
