district,amount_rs_inlakhs,amount_rsin_lakhs,disbursement_no_of_cases,no_ofcases_sponsored,pending_withbank_fordisbursement_no_of_cases,sanction_ed,subsidy_involvedin_sanctioned_cases_rs_inlakhs,subsidyreleased_no_of_cases,totalproject_cost_involvedin_sanctioned_cases_rsin_lakhs
Alipurduar,360.97,2356.37,3714.0,9501.0,415.0,4324.0,2951.71,4180.0,12027.78
Bankura,408.6,7196.82,12556.0,31208.0,549.0,15393.0,8859.02,13863.0,35253.01
Birbhum,1022.57,7902.74,15408.0,38697.0,1777.0,20490.0,11086.96,18085.0,44075.03
Cooch Behar,409.84,5050.06,11012.0,27558.0,764.0,13461.0,6638.2,11962.0,25508.55
Dakshin Dinajpur,121.84,4533.33,10007.0,20498.0,218.0,11384.0,4889.95,10847.0,24376.58
Darjeeling,79.36,1468.14,2699.0,9610.0,70.0,3958.0,1740.72,3043.0,6891.27
Hooghly,340.66,8665.55,15007.0,40493.0,400.0,17218.0,10873.68,15951.0,40461.18
Howrah,293.94,5084.09,11976.0,36640.0,471.0,13443.0,5827.03,12970.0,23678.96
Jalpaiguri,596.58,5516.08,8898.0,18879.0,737.0,11603.0,7591.56,10433.0,36024.1
Kolkata,156.91,3712.14,8245.0,22722.0,197.0,9843.0,4481.06,9839.0,18471.48
Malda,485.26,6574.01,12922.0,58479.0,533.0,15325.0,8473.41,14087.0,39444.3
Murshidabad,481.45,9753.97,18669.0,39918.0,719.0,20874.0,11239.04,20389.0,48170.62
Nadia,576.99,6407.62,13157.0,38970.0,806.0,16627.0,8544.2,14614.0,34725.96
Paschim Medinipur,110.95,10243.85,14619.0,50068.0,102.0,19128.0,13884.61,15192.0,60529.76
Purba Medinipur,513.29,9076.78,15141.0,28503.0,812.0,17120.0,10026.26,16614.0,35769.97
Purulia,372.04,4547.36,7521.0,23673.0,539.0,10362.0,5687.23,8335.0,25520.71
Uttar Dinajpur,215.31,5519.22,9034.0,21082.0,273.0,10727.0,6611.39,9551.0,26285.36
