district,amnt,kcc_disbursed_fresh_renewal_in_2016_17_no,kcc_outstanding_as_on_31_03_2017_no,no_of_farming_family,total_kcc_active_as_on_31_03_2017_as_reported_by_ldm_no,total_kcc_dormant_as_on_31_03_2017_as_reported_by_ldm_no,total_kcc_generated
Alipurduar,34.22,8658.0,30203.0,66553.0,23195.0,7008.0,30203.0
Bankura,531.46,153000.0,196145.0,380111.0,154145.0,42000.0,376000.0
Birbhum,450.4,125113.0,220125.0,450313.0,125113.0,95012.0,459319.0
Cooch Behar,88.38,16815.0,165512.0,364797.0,80512.0,85000.0,328000.0
Dakshin Dinajpur,55.7,12762.0,215137.0,222783.0,146273.0,68864.0,215263.0
Darjeeling,13.05,2511.0,32786.0,38002.0,13305.0,19481.0,32812.0
Hooghly,1075.15,255000.0,345082.0,345908.0,262452.0,82630.0,342075.0
Howrah,116.49,39624.0,80697.0,225265.0,73974.0,6723.0,124355.0
Jalpaiguri,283.87,40251.0,77336.0,113290.0,55323.0,22013.0,113077.0
Malda,119.08,19960.0,180129.0,376570.0,148178.0,31951.0,292677.0
Murshidabad,56.78,15246.0,310154.0,599107.0,264852.0,45302.0,593894.0
Nadia,992.92,133319.0,620304.0,628000.0,611840.0,11136.0,622976.0
North 24 Parganas,524.02,142803.0,195649.0,444850.0,118072.0,77577.0,282967.0
Paschim Medinipur,555.48,120119.0,518614.0,734630.0,666043.0,45028.0,711071.0
Purba Bardhaman,1116.38,263026.0,434870.0,472188.0,389927.0,44943.0,442126.0
Purba Medinipur,534.49,234650.0,466726.0,390437.0,406499.0,60227.0,466726.0
Purulia,48.77,23646.0,138983.0,319923.0,80373.0,58610.0,138983.0
South 24 Parganas,457.2,143000.0,419000.0,457000.0,371000.0,48000.0,419229.0
Uttar Dinajpur,113.16,32417.0,263546.0,285769.0,183007.0,80539.0,263962.0
