district,Overall CD Ratio,cd_ratio_march_2017_amount_in_rs_crore
Alipurduar,37.0,3832.49
Bankura,36.0,10064.24
Birbhum,40.0,11592.72
Cooch Behar,67.0,6032.66
Dakshin Dinajpur,56.0,2943.64
Darjeeling,56.0,15461.82
Hooghly,27.0,33334.6
Howrah,33.0,29965.63
Jalpaiguri,42.0,6569.58
Kolkata,91.0,250543.58
Malda,51.0,7414.33
Murshidabad,50.0,11547.52
Nadia,42.0,44429.05
Paschim Medinipur,43.0,17788.47
Purba Bardhaman,39.0,53817.55
Purba Medinipur,47.0,18852.93
Purulia,41.0,7253.82
Uttar Dinajpur,57.0,4222.57
