district,cumulative_amount_of_loan_disbursed_under_jlg_as_on,cumulative_no_of_jlgs_credit_linked_as_on,loan_disbursed_under_jlg_during_f_y_2016_17_april_to_march,no_of_jlgs_credit_linked_during_f_y_2016_17_april_to_march,no_of_jlgs_target
Bankura,312.76,878.0,106.45,194.0,7200.0
Birbhum,1419.63,1534.0,171.32,182.0,6000.0
Cooch Behar,3861.05,4561.0,116.34,462.0,2400.0
Dakshin Dinajpur,462.51,788.0,162.32,166.0,1600.0
Darjeeling,409.46,574.0,127.23,153.0,800.0
Hooghly,506.37,3654.0,267.55,706.0,4000.0
Howrah,1011.08,1784.0,334.61,431.0,1600.0
Jalpaiguri,2871.44,3156.0,114.58,207.0,2000.0
Malda,524.18,1218.0,18.62,362.0,5600.0
Murshidabad,6584.12,13119.0,392.22,822.0,7200.0
Nadia,5419.34,5532.0,638.73,841.0,2000.0
Purba Bardhaman,4160.35,3602.0,138.46,212.0,8800.0
Purba Medinipur,3462.55,4501.0,912.68,1258.0,6400.0
Purulia,2084.36,2107.0,101.24,140.0,4000.0
Uttar Dinajpur,3024.56,2601.0,44.69,98.0,3200.0
