district,achievement_as_on_march_2017_no,amt,amt_in_lac,average_rs_lac,of_achievement_no,target_for_2016_17_no
Alipurduar,861.0,45.63,1385.61,1.61,39.6,2174.0
Bankura,10530.0,57.62,13219.37,1.26,58.79,17910.0
Birbhum,17141.0,89.03,35840.65,2.09,62.57,27397.0
Cooch Behar,10014.0,69.83,10934.15,1.09,79.95,12526.0
Dakshin Dinajpur,3167.0,49.68,3748.31,1.18,52.48,6035.0
Darjeeling,1544.0,107.78,2376.54,1.54,87.53,1764.0
Hooghly,13226.0,82.7,22614.14,1.71,64.43,20528.0
Howrah,12433.0,141.92,27181.03,2.19,86.23,14418.0
Jalpaiguri,8173.0,132.21,10316.35,1.26,135.2,6045.0
Malda,10750.0,112.82,12375.77,1.15,123.55,8701.0
Murshidabad,10741.0,80.55,13701.53,1.28,78.93,13608.0
Nadia,28841.0,144.69,29570.53,1.03,176.57,16334.0
North 24 Parganas,10920.0,81.42,15237.61,1.4,86.49,12626.0
Paschim Medinipur,12073.0,93.09,16277.42,1.35,86.31,13988.0
Purba Bardhaman,20573.0,190.55,46987.35,2.28,109.26,18829.0
Purba Medinipur,22781.0,119.97,33376.9,1.47,111.62,20410.0
Purulia,6577.0,48.75,7515.99,1.14,47.77,13768.0
South 24 Parganas,15243.0,121.54,19732.46,1.29,110.56,13787.0
Uttar Dinajpur,7691.0,101.37,8534.98,1.11,116.0,6630.0
