district,no_of_literacy_camp_conducted_as_per_rbi_guidelines_using_standardized_financial_literacy_material_of_rbi,no_of_persons_participated,no_of_rural_branches_in_the_district,no_of_rural_branches_which_have_conducted_literacy_camps_as_per_rbi_guidelines_using_standardized_financial_literacy_material_of_rbi_in_the_quarter,out_of_persons_participated_no_of_persons_already_have_bank_account_at_the_time_of_attending_the_camp,out_of_persons_participated_no_of_persons_opened_bank_account_after_attending_the_camp
Alipurduar,23.0,1824.0,70.0,26.0,968.0,267.0
Bankura,112.0,944.0,225.0,54.0,584.0,152.0
Birbhum,90.0,436.0,210.0,78.0,361.0,60.0
Cooch Behar,112.0,3688.0,144.0,98.0,1894.0,724.0
Dakshin Dinajpur,62.0,627.0,69.0,45.0,522.0,46.0
Darjeeling,34.0,1865.0,74.0,22.0,1234.0,412.0
Hooghly,142.0,4124.0,237.0,117.0,2485.0,974.0
Howrah,143.0,3251.0,190.0,95.0,2768.0,422.0
Jalpaiguri,22.0,855.0,77.0,30.0,526.0,196.0
Malda,73.0,856.0,181.0,46.0,721.0,94.0
Murshidabad,164.0,4621.0,264.0,137.0,3234.0,708.0
Nadia,116.0,956.0,125.0,66.0,562.0,334.0
Paschim Medinipur,225.0,9856.0,323.0,145.0,5346.0,1234.0
Purba Bardhaman,154.0,4157.0,371.0,108.0,3246.0,723.0
Purba Medinipur,61.0,1458.0,298.0,49.0,1174.0,224.0
Purulia,66.0,1042.0,126.0,62.0,732.0,295.0
Uttar Dinajpur,52.0,442.0,93.0,36.0,328.0,62.0
