district,no_of_candidate_trained,no_of_training_cond,not_settled,of_settlement,self_employd,total_settled,under_process,wage_employd
Bankura,4738.0,204.0,98.0,59.0,2273.0,2790.0,1850.0,517.0
Birbhum,4929.0,165.0,0.0,61.0,3020.0,3025.0,1904.0,5.0
Cooch Behar,1875.0,73.0,0.0,76.0,1418.0,1418.0,457.0,0.0
Dakshin Dinajpur,3332.0,123.0,41.0,69.0,2091.0,2297.0,994.0,206.0
Darjeeling,1321.0,51.0,0.0,64.0,845.0,845.0,476.0,0.0
Hooghly,4414.0,167.0,547.0,74.0,3245.0,3245.0,622.0,0.0
Howrah,15588.0,598.0,266.0,75.0,11096.0,11642.0,3680.0,546.0
Jalpaiguri,3726.0,192.0,0.0,83.0,3066.0,3106.0,620.0,40.0
Malda,4346.0,141.0,1.0,64.0,2428.0,2775.0,1570.0,347.0
Murshidabad,6212.0,210.0,0.0,68.0,4253.0,4253.0,1959.0,0.0
Nadia,3188.0,126.0,0.0,69.0,2207.0,2207.0,981.0,0.0
Paschim Medinipur,4427.0,131.0,7.0,74.0,3045.0,3296.0,1124.0,251.0
Purba Bardhaman,4053.0,159.0,0.0,70.0,2823.0,2823.0,1230.0,0.0
Purba Medinipur,4087.0,141.0,12.0,74.0,2997.0,3027.0,1048.0,30.0
Purulia,2843.0,110.0,66.0,51.0,1437.0,1437.0,1340.0,0.0
Uttar Dinajpur,3450.0,138.0,1.0,65.0,2231.0,2239.0,1210.0,8.0
