district,sum_of_aadhaar_seeded,sum_of_rupaycard_issued,sum_of_rural_a_c,sum_of_total_a_c,sum_of_total_deposit_rs_in_crore,sum_of_urban_a_c,sum_of_zero_balance_account
Alipurduar,40962.0,59406.0,32049.0,60259.0,21.89,28210.0,6417.0
Bankura,887962.0,1104924.0,1158713.0,1346767.0,381.99,188054.0,216864.0
Birbhum,963261.0,839600.0,1013524.0,1352688.0,248.79,339164.0,171759.0
Cooch Behar,677589.0,718329.0,668675.0,1014249.0,159.67,345574.0,134261.0
Dakshin Dinajpur,457203.0,581400.0,622095.0,698269.0,133.53,76174.0,129282.0
Darjeeling,372969.0,406507.0,225179.0,496567.0,213.54,271388.0,71065.0
Hooghly,1032263.0,910542.0,749036.0,1241645.0,458.98,492609.0,166186.0
Howrah,803201.0,799518.0,590271.0,1002586.0,375.21,412315.0,125769.0
Jalpaiguri,908522.0,919904.0,683449.0,1276647.0,312.08,593198.0,195414.0
Kolkata,522895.0,737263.0,10774.0,798842.0,948.22,788068.0,111166.0
Malda,1061805.0,1319361.0,1533754.0,1648892.0,403.75,115138.0,283903.0
Murshidabad,1570688.0,1630712.0,1498942.0,2333481.0,603.25,834539.0,377312.0
Nadia,1128451.0,1468426.0,1119188.0,1822846.0,568.61,703658.0,278256.0
North 24 Parganas,1604005.0,2044442.0,1308434.0,2378729.0,1247.82,1070295.0,302008.0
Paschim Medinipur,1222345.0,1336778.0,1344079.0,1660171.0,569.54,316092.0,182996.0
Purba Bardhaman,1212983.0,1194929.0,1161751.0,1737087.0,632.3,575336.0,293287.0
Purba Medinipur,1020157.0,1229280.0,1262565.0,1492813.0,475.0,230248.0,168528.0
South 24 Parganas,1638734.0,1937185.0,1937899.0,2490939.0,802.18,553040.0,383262.0
Uttar Dinajpur,853709.0,1217242.0,1198253.0,1517191.0,203.16,318938.0,376083.0
