district,10km,1km_3km,3km_5km,5km_10km,b_m_branch,grand_total
Alipurduar,3.0,,1.0,7.0,,11.0
Bankura,,,3.0,5.0,,8.0
Birbhum,1.0,,,3.0,,4.0
Cooch Behar,5.0,,2.0,57.0,,64.0
Dakshin Dinajpur,1.0,,,1.0,,2.0
Darjeeling,7.0,4.0,8.0,7.0,1.0,27.0
Hooghly,,,4.0,12.0,2.0,18.0
Howrah,,1.0,2.0,,1.0,4.0
Jalpaiguri,5.0,9.0,12.0,13.0,7.0,46.0
Malda,4.0,1.0,3.0,5.0,,13.0
Murshidabad,,5.0,21.0,33.0,4.0,63.0
Nadia,12.0,1.0,2.0,10.0,,25.0
North 24 Parganas,,,1.0,1.0,,2.0
Paschim Medinipur,,1.0,2.0,1.0,,4.0
Purba Medinipur,,,,6.0,,6.0
Purulia,,2.0,2.0,3.0,,7.0
South 24 Parganas,1.0,8.0,19.0,5.0,7.0,40.0
Uttar Dinajpur,2.0,1.0,5.0,7.0,,15.0
