district,sr_no,flc_manager_no_of_sepcial_camps,flc_manager_participant,flc_manager_no_of_specific_camps,flc_manager_participants,rural_branches_camps
Almora,9,5,158,8,256,137
Bageshwar,5,13,323,15,380,95
Chamoli,3,6,138,15,492,74
Champawat,4,6,213,16,431,90
Dehradun,10,5,138,29,967,139
Haridwar,11,6,241,16,375,207
Nainital,12,10,309,27,669,162
Pauri Garhwal,8,5,96,8,133,384
Pithoragarh,6,8,224,9,272,160
Rudraprayag,7,2,61,8,218,16
Tehri Garhwal,2,6,124,13,279,36
Udham Singh Nagar,13,5,143,12,340,319
Uttarkashi,1,6,74,15,187,218
