district,Export Credit Ac,Amt,Education (PS) Ac,Amt,Housing (PS) Ac,Amt,Social Infrastructure Ac,Amt,Renewable Energy Ac,Amt,Informal Credit Ac,Amt,Loans to weaker Ac,Amt
Bishnupur,0,12.94,0,12.94,28,12.94,0,12.94,0,12.94,0,12.94,25,12.94
Chandel,0,2.22,0,2.22,6,2.22,0,2.22,0,2.22,0,2.22,26,2.22
Churachandpur,0,8.26,0,8.26,23,8.26,1,8.26,0,8.26,0,8.26,17,8.26
Imphal East,0,85.9,7,85.9,153,85.9,554,85.9,2,85.9,3,85.9,113,85.9
Imphal West,0,731.5,14,731.5,263,731.5,3,731.5,3,731.5,69,731.5,1815,731.5
Jiribam,0,349.07,0,349.07,0,349.07,0,349.07,0,349.07,0,349.07,943,349.07
Kakching,0,6.3,3,6.3,13,6.3,0,6.3,0,6.3,0,6.3,19,6.3
Kamjong,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kangpokpi,0,0.12,1,0.12,4,0.12,0,0.12,0,0.12,0,0.12,12,0.12
Noney,0,58.24,0,58.24,0,58.24,0,58.24,0,58.24,0,58.24,69,58.24
Pherzawl,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senapati,0,8.24,2,8.24,22,8.24,2,8.24,0,8.24,0,8.24,33,8.24
Tamenglong,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tengnoupal,0,9.15,0,9.15,13,9.15,0,9.15,0,9.15,0,9.15,6,9.15
Thoubal,0,58.78,2,58.78,38,58.78,0,58.78,0,58.78,2,58.78,80,58.78
Ukhrul,0,3.46,0,3.46,0,3.46,0,3.46,0,3.46,0,3.46,11,3.46
