District,Bank Name,Self-Help Group No.,Self-Help Group Amt,SHG No.,SHG AMT
Bishnupur,ALB,0,0,0,0
Chandel,BOB,18,18.5,1,2
Churachandpur,BOI,0,0,1,0.94
Imphal East,BOM,0,0,58,58.94
Imphal West,CAN,0,0,1,5.5
Jiribam,CBI,1,0.94,0,0
Kakching,IND,0,0,0,0
Kamjong,IOB,18,13.53,0,0
Kangpokpi,PNB,0,0,18,13.53
Noney,PSB,0,0,0,0
Pherzawl,SBI,5,23.5,0,0
Senapati,SYN,0,0,1,6.3
Tamenglong,UBI,0,0,0,0
Tengnoupal,UCO,25,21.04,2,6.2
Thoubal,UNI,0,0,5,9
Ukhrul,Total,67,77.51,0,0
