District,Village,No. of villages,Covered by Branch/BC (Cbs enabled banking outlet),No. of Uncovered Villages,No. of Covered Villages
Imphal West,107,67,67,0,107
Imphal East,141,95,95,0,141
Jiribam,50,48,48,0,50
Thoubal,61,29,29,0,61
Kakching,26,10,10,0,26
Bishnupur,48,22,22,0,48
Pherzawl,89,87,27,60,29
Senapati,136,83,83,0,136
Kangpokpi,533,527,527,0,533
Tamenglong,117,114,114,0,117
Noney,57,53,53,0,57
Ukhrul,95,82,82,0,95
Kamjong,118,117,59,58,60
Chandel,267,266,201,65,202
Tengnoupal,163,162,157,5,158
