District,Disb No.,Disb Amt,OS No.,OS Amt
Bishnupur,0,0,207,62.17
Chandel,0,0,0,0
Churachandpur,0,0,61,67.53
Imphal East,0,0,3326,1082.27
Imphal West,27,9.6,5642,1548.41
Jiribam,0,0,0,0
Kakching,7,2.1,63,27.66
Kamjong,0,0,0,0
Kangpokpi,0,0,2,7.95
Noney,0,0,0,0
Pherzawl,0,0,0,0
Senapati,0,0,103,32.97
Tamenglong,0,0,0,0
Tengnoupal,0,0,0,0
Thoubal,0,0,545,836.73
Ukhrul,0,0,27,26.09
