District,Enrolment Under PMJJBY,eligible cases under PMJJBY,Renewals Under PMJJBY,Enrolment Under PMSBY,eligible cases under PMSBY,Renewals Under PMSBY,Enrolment Under APY
Bishnupur,4815,37327,2839,14805,62048,11919,975
Chandel,912,12325,399,3401,20681,2161,73
Churachandpur,8681,74566,6133,15071,116865,11793,1034
Imphal East,12522,107779,7838,37034,164380,24489,2467
Imphal West,21231,183372,15785,58976,287550,44719,6624
Jiribam,471,0,147,630,0,511,0
Kakching,2005,16775,1055,8361,30446,5232,257
Kamjong,88,2154,66,241,3541,122,4
Kangpokpi,1761,17990,1013,4246,30061,3173,355
Noney,402,4002,235,1912,6227,1513,111
Pherzawl,2,476,2,8,677,1,0
Senapati,3121,64176,1982,12130,96987,9077,318
Tamenglong,421,903,296,770,1249,640,163
Tengnoupal,1421,12669,925,3874,20029,3082,78
Thoubal,3246,46849,2135,13363,80115,10611,968
Ukhrul,1463,18970,646,2849,27148,1798,173
