District,Sishu O/S No.,NPA No.,O/S AMT,NPA AMT,Kishore O/S No.,Tarun O/S No.
Bishnupur,1216,5,191.01,29.51,1446,29
Chandel,172,3,45.37,21.28,207,9
Churachandpur,903,2,327.05,10.87,689,59
Imphal East,4573,20,1322.34,90.92,1997,279
Imphal West,13389,98,4054.79,659.27,4070,648
Jiribam,3282,0,34.52,0,195,5
Kakching,647,1,250.09,9.76,1078,39
Kamjong,60,0,0,0,37,0
Kangpokpi,115,0,112.52,0,287,17
Noney,43,0,5.54,0,342,1
Pherzawl,4,0,0,0,4,0
Senapati,366,8,430.82,48.45,1076,72
Tamenglong,228,2,98.88,7.8,425,19
Tengnoupal,190,1,30.6,3.48,550,6
Thoubal,3959,7,354.18,38.59,1677,63
Ukhrul,224,21,316.27,152.62,605,47
