District,Savings Linked No.,Savings Linked Amt,Credit Linked No.,Credit Linked Amt,CY Savings Linked No.,CY Savings Linked Amt,CY Credit Linked No.,CY Credit Linked Amt
Bishnupur,53,0.72,3,2.2,53,0.72,6,22.4
Chandel,21,0.56,0,0,21,0.56,2,15.6
Churachandpur,784,38.22,1,0.6,759,37.87,2,5.6
Imphal East,131,19.72,628,211.68,104,18.33,623,215.94
Imphal West,1135,6.91,4,5,1108,6.11,7,18.48
Jiribam,0,0,0,0,0,0,0,0
Kakching,13,0.07,1,1,13,0.07,1,1
Kamjong,107,2.51,0,0,107,2.51,0,0
Kangpokpi,14,1.14,0,0,14,1.14,0,0
Noney,9,0.89,0,0,9,0.89,1,10
Pherzawl,0,0,0,0,0,0,0,0
Senapati,312,6.17,0,0,312,6.17,5,12.5
Tamenglong,28,1.79,1,2.86,12,1.39,0,0
Tengnoupal,129,4.85,1,1.5,129,4.85,23,75.5
Thoubal,292,38.36,33,36.8,272,37.74,33,36.8
Ukhrul,0,0,0,0,0,0,0,0
