District,Smalland Marginal Farmers No.,Amt,SC No.,ST No.,DRI scheme No.,SHG No.,women No.,Minority No.,PMJDY No.,Others No.
Bishnupur,5787,136.19,1135,185,0,526,3355,446,437,79
Chandel,110,40.75,7,373,0,9,324,2960,11,47
Churachandpur,1896,274.04,42,3437,0,437,1450,6691,14,134
Imphal East,5240,2277.74,183,723,3,785,8170,4913,164,3437
Imphal West,8235,3850.81,3699,3098,11,984,11694,9639,1425,8649
Jiribam,1452,349.07,3001,1219,0,0,970,3866,0,543
Kakching,1138,0,2202,130,0,189,521,229,49,0
Kamjong,0,6.81,2,3,0,0,64,237,0,22
Kangpokpi,356,15.92,58,436,0,125,207,1151,0,10
Noney,347,53.13,6,643,0,84,289,220,0,9
Pherzawl,0,0,1,3,0,0,1,72,0,0
Senapati,1995,60.49,29,1540,0,62,1303,7978,9,39
Tamenglong,102,324.76,0,1023,28,10,11,27,0,240
Tengnoupal,287,42.63,33,795,0,151,387,1357,15,113
Thoubal,4372,576.16,474,144,0,637,5704,906,163,368
Ukhrul,500,28.63,4,1504,0,85,211,1241,12,13
