district,Export No,Amt,Education No,Amt,Housing No,Amt,Social Infra No No,Amt,Renewable No No,Amt,Other PS Amt No,Amt,Total Other priority No,Amt
Bishnupur,0,4044.44,24,4044.44,303,4044.44,0,4044.44,0,4044.44,886,4044.44,1213,4044.44
Chandel,0,662.56,10,662.56,55,662.56,0,662.56,0,662.56,22,662.56,87,662.56
Churachandpur,0,7182.25,68,7182.25,523,7182.25,11,7182.25,6,7182.25,866,7182.25,1474,7182.25
Imphal East,0,12883.33,133,12883.33,2055,12883.33,554,12883.33,1,12883.33,1418,12883.33,4161,12883.33
Imphal West,0,40773.87,465,40773.87,4312,40773.87,6,40773.87,0,40773.87,2880,40773.87,7663,40773.87
Jiribam,0,620.3,1,620.3,9,620.3,0,620.3,0,620.3,319,620.3,329,620.3
Kakching,0,2618.03,17,2618.03,143,2618.03,0,2618.03,0,2618.03,435,2618.03,595,2618.03
Kamjong,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kangpokpi,0,657.12,4,657.12,37,657.12,0,657.12,0,657.12,78,657.12,119,657.12
Noney,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pherzawl,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senapati,0,2231.02,67,2231.02,129,2231.02,7,2231.02,0,2231.02,74,2231.02,277,2231.02
Tamenglong,0,496.49,5,496.49,5,496.49,0,496.49,0,496.49,300,496.49,310,496.49
Tengnoupal,0,666.3,2,666.3,49,666.3,0,666.3,0,666.3,83,666.3,134,666.3
Thoubal,0,4242.13,30,4242.13,332,4242.13,0,4242.13,0,4242.13,134,4242.13,496,4242.13
Ukhrul,0,286.83,6,286.83,5,286.83,0,286.83,0,286.83,184,286.83,195,286.83
