district,Agri NPS No,Amt,Education NPS No,Housing NPS No,Personal Loan No,Other NPS No,Total NPS No
Bishnupur,0,14291.41,0,117,2431,487,3035
Chandel,0,10169.16,0,45,3523,37,3605
Churachandpur,6,29226.88,1,269,5805,2732,8813
Imphal East,0,65390.4,4,322,5678,6619,12623
Imphal West,2,207716.9,14,1333,38272,25286,64907
Jiribam,0,369.66,0,1,94,268,363
Kakching,2,9603.46,0,100,1790,270,2162
Kamjong,0,1323.43,0,0,290,0,290
Kangpokpi,0,4824.55,0,35,2863,159,3057
Noney,0,2249.22,0,1,308,5,314
Pherzawl,0,929.09,0,0,111,0,111
Senapati,2,26509.99,0,221,3625,1024,4872
Tamenglong,0,2377.96,0,2,762,44,808
Tengnoupal,1,7864.75,0,28,3018,115,3162
Thoubal,0,22941.66,1,112,3637,5753,9503
Ukhrul,0,6534.97,0,6,1708,147,1861
