district,Bank Name,OS No,OS Amt,Disb No,Disb Amt,OS No,OS Amt,Disb No,Disb Amt
Bishnupur,ALB,4997,6056.03,392,165.39,4997,6056.03,392,165.39
Chandel,BOB,1071,3361.57,183,242.66,1071,3361.57,183,242.66
Churachandpur,BOI,3923,7871.7,270,274.3,3923,7871.7,270,274.3
Imphal East,BOM,17272,21737.41,961,1192.75,17272,21737.41,961,1192.75
Imphal West,CAN,51025,75150.6,4098,4722.09,51025,75150.6,4098,4722.09
Jiribam,CBI,13646,5889.27,984,389.29,13646,5889.27,984,389.29
Kakching,IND,1654,3469.09,159,165.9,1654,3469.09,159,165.9
Kamjong,IOB,87,84.09,2,10,87,84.09,2,10
Kangpokpi,PNB,542,1158.85,91,112.05,542,1158.85,91,112.05
Noney,PSB,374,300.21,42,38.47,374,300.21,42,38.47
Pherzawl,SBI,3,3.05,1,0.01,3,3.05,1,0.01
Senapati,SYN,3385,8613.32,347,443.37,3385,8613.32,347,443.37
Tamenglong,UBI,736,1283.67,23,32.62,736,1283.67,23,32.62
Tengnoupal,UCO,828,1421.38,92,184.53,828,1421.38,92,184.53
Thoubal,UNI,8476,8277.12,332,407.95,8476,8277.12,332,407.95
Ukhrul,Total,1135,2397.83,81,84.08,1135,2397.83,81,84.08
