District,Christians No.,Christians Amt,Muslims No.,Muslims Amt,Buddhists No.,Buddhists Amt,Sikhs No.,Sikhs Amt,Zoroastrians No.,Zoroastrians Amt,Jains No.,Jains Amt
Bishnupur,59,96.45,18,52.25,0,0,0,0,0,0,0,0
Chandel,450,492.09,17,17.63,0,0,0,0,0,0,0,0
Churachandpur,951,1660.93,20,66.79,0,0,0,0,0,0,0,0
Imphal East,327,587.44,188,206.04,0,0,1,1.5,0,0,0,0
Imphal West,649,1256.47,420,602.13,1,1.62,5,20.4,0,0,3,101.45
Jiribam,59,20.66,182,70.41,0,0,0,0,0,0,0,0
Kakching,26,100.77,34,81.51,0,0,0,0,0,0,0,0
Kamjong,10,26.64,1,0.44,0,0,0,0,0,0,0,0
Kangpokpi,213,291.34,12,21.02,0,0,0,0,0,0,0,0
Noney,99,174.58,2,4,0,0,0,0,0,0,0,0
Pherzawl,14,48.1,2,20,0,0,0,0,0,0,0,0
Senapati,1004,1580.97,12,13.98,2,13.05,0,0,0,0,0,0
Tamenglong,46,46.17,0,0,0,0,0,0,0,0,0,0
Tengnoupal,262,559.18,47,26.97,0,0,0,0,0,0,0,0
Thoubal,32,59.28,149,184.87,0,0,2,3.16,0,0,0,0
Ukhrul,259,298.55,1,0.33,0,0,0,0,0,0,0,0
