district,Micro TL AC,TL Amt,WC AC,WC Amt,Small TL AC,TL Amt,WC AC,WC Amt,Medium TL AC,TL Amt,WC AC,WC Amt,KVIC TL AC,TL Amt,WC AC,WC Amt,Others under MSMEs Ac,Amt
Bishnupur,403,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Chandel,112,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Churachandpur,247,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,3,3.62
Imphal East,579,57.58,19,74.61,38,57.58,19,74.61,5,57.58,19,74.61,10,57.58,19,74.61,1,1.25
Imphal West,2433,19.73,14,36.16,231,19.73,14,36.16,12,19.73,14,36.16,6,19.73,14,36.16,84,265.66
Jiribam,873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kakching,233,19.25,1,0.97,20,19.25,1,0.97,0,19.25,1,0.97,4,19.25,1,0.97,0,0
Kamjong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kangpokpi,105,55.1,3,9,2,55.1,3,9,0,55.1,3,9,7,55.1,3,9,2,2.12
Noney,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pherzawl,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senapati,264,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0
Tamenglong,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tengnoupal,108,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Thoubal,226,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukhrul,77,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
