District,SC Disb No.,SC Disb Amt,SC O/S No.,SC O/S Amt,ST Disb No.,ST Disb Amt,ST O/S No.,ST O/S Amt
Bishnupur,45,55.82,1247,1642.56,15,25.72,185,585.88
Chandel,0,0,7,33.63,58,2.7,373,529.62
Churachandpur,8,24.72,54,145.2,236,268.07,4032,8816.29
Imphal East,26,63.79,149,680.72,64,232.1,632,3218.62
Imphal West,266,364.07,3896,4211.34,199,715.06,2364,11123.92
Jiribam,219,88.51,3001,1248.25,103,39.96,1219,469.75
Kakching,251,415.24,2479,7019.36,48,117.73,264,1532.24
Kamjong,1,3,2,15.28,1,12,3,20.72
Kangpokpi,9,14.56,123,254.14,26,82.56,522,1632.02
Noney,2,12.32,6,33.38,67,57.95,631,472.63
Pherzawl,0,0,1,7.51,1,8,3,16.38
Senapati,2,10.64,29,106.28,103,95.59,1690,2688.5
Tamenglong,0,0,0,0,41,46.53,1810,3428.02
Tengnoupal,3,2.98,33,140.74,108,123.19,2061,1436.78
Thoubal,63,62.91,466,500.1,18,43.36,138,455.94
Ukhrul,0,0,4,22.15,156,109.68,2471,3956.03
