District,Sanctioned No.,ofwhichgirlstudent Sanctioned No.,Sanctioned Amt,ofwhichgirlstudent Sanctioned Amt,Disb. Number,ofwhichgirlstudent Disb No.,Disb. Amt,ofwhichgirlstudent Disb Amt,Os No.,ofwhichgirlstudent Os No.,Os amt,ofwhichgirlstudent Os Amt
Bishnupur,0,0,0,0,0,0,0,0,24,8,100.4,27.92
Chandel,0,0,0,0,0,0,0,0,10,7,23.25,17.73
Churachandpur,0,0,0,0,0,0,0,0,69,36,160.7,56.09
Imphal East,0,0,0,0,7,3,33.89,10.5,129,53,588.72,267.35
Imphal West,2,2,22.66,22.66,15,6,50.15,24.41,395,145,1849.55,640.01
Jiribam,0,0,0,0,0,0,0,0,1,0,0.61,0
Kakching,2,0,2.4,0,2,0,2.62,0,17,4,34.38,7.9
Kamjong,0,0,0,0,0,0,0,0,0,0,0,0
Kangpokpi,0,0,0,0,1,1,0.99,0.99,4,2,26.48,2.96
Noney,0,0,0,0,0,0,0,0,0,0,0,0
Pherzawl,0,0,0,0,0,0,0,0,0,0,0,0
Senapati,1,0,0.5,0,2,1,10.62,10.12,67,36,250.29,130.14
Tamenglong,0,0,0,0,0,0,0,0,5,3,9.55,3.45
Tengnoupal,0,0,0,0,0,0,0,0,2,0,4.4,0
Thoubal,1,1,14.01,14.01,2,2,23.87,23.87,28,10,117.2,59.4
Ukhrul,0,0,0,0,0,0,0,0,6,1,15.88,3.16
