District,Rural No.,Urban No.,Male No.,Female No.,No. of Zero Balance A/C,Amt. Deposits held in the A/C,No. of Rupay Card Issued,No. of Rupay Card Activated,No. of Aadhaar Seeded
Bishnupur,83769,30120,49514,64381,55189,2080.26,81886,73594,100761
Chandel,13174,0,6032,7140,1016,331.86,10676,7899,8100
Churachandpur,36212,35107,34308,38974,18566,2162.63,63660,51269,43000
Imphal East,82536,27539,60278,67770,65104,7140.14,100657,81807,95284
Imphal West,32961,126628,81898,85606,52365,7613.47,153068,118830,140559
Jiribam,0,0,0,0,19374,498.42,0,0,0
Kakching,20492,23669,19298,24861,53056,1038.51,35363,31977,35371
Kamjong,1800,0,848,951,66,53.14,2120,1277,539
Kangpokpi,19210,0,13157,10767,9582,306.59,20080,16122,11571
Noney,8262,0,4367,3894,946,442.01,8464,7464,6490
Pherzawl,178,0,96,82,7,13.62,199,125,143
Senapati,35232,0,16553,18928,8733,1343.56,38293,23612,12266
Tamenglong,3267,0,2207,1060,29947,388.8,686,431,428
Tengnoupal,9984,2029,5612,6515,4956,530.34,12534,9117,9585
Thoubal,66106,52339,53713,72250,54533,2011.12,101010,91037,94761
Ukhrul,2684,19072,11049,10706,44526,1633.96,19036,15688,10643
