District,Bank Name,CY Sanction A/C No.,CY Sanction Amt,Disbursed A/C,CY Disbursed Amt
Bishnupur,ALB,0,0,0,0
Chandel,BOB,0,0,4,7.3
Churachandpur,BOI,41,104.56,41,66.18
Imphal East,BOM,6,34.27,7,32.65
Imphal West,CAN,318,3141.86,319,2808.58
Jiribam,CBI,4,5.28,4,5.28
Kakching,IND,5,33.1,5,15.5
Kamjong,IOB,0,0,0,0
Kangpokpi,PNB,74,345.67,74,251.84
Noney,PSB,0,0,0,0
Pherzawl,SBI,0,0,0,0
Senapati,SYN,3,2.76,2,2.65
Tamenglong,UBI,0,0,0,0
Tengnoupal,UCO,0,0,0,0
Thoubal,UNI,8,21.36,8,21.36
Ukhrul,Total,0,0,0,0
