District,CHRISTIANS No.,CHRISTIANS Amt,MUSLIMS No.,MUSLIMS Amt,BUDDH ISTS No.,BUDDHI STS Amt,SIKHS No.,SIKHS Amt,ZORAST RIANS No.,ZORAST RIANS Amt,JAINS No.,JAINS Amt
Bishnupur,395,1324.72,377,404.05,4,10.67,3,23.06,0,0,0,0
Chandel,2862,8552.04,98,419.21,0,0,0,0,0,0,0,0
Churachandpur,9475,28518.19,130,372.86,1,2.25,4,14.61,0,0,0,0
Imphal East,3009,10831.64,1349,2902.4,2,10.97,5,10.4,0,0,1,0.17
Imphal West,8371,25512.83,2909,8160.8,9,45.17,60,271.18,3,7.38,113,504.42
Jiribam,671,270.89,3192,1328.7,3,1.16,0,0,0,0,0,0
Kakching,144,594.11,128,414.77,0,0,0,0,0,0,0,0
Kamjong,225,524.46,10,55.53,1,6.65,1,6,0,0,0,0
Kangpokpi,1278,3620.96,54,167.04,0,0,1,1.25,0,0,0,0
Noney,856,1441.49,6,30.31,0,0,1,7.29,0,0,0,0
Pherzawl,63,310.29,9,56.21,0,0,0,0,0,0,0,0
Senapati,8928,26085.39,63,310.7,5,30.89,2,2.76,1,3.51,0,0
Tamenglong,1852,3581.2,0,0,0,0,0,0,0,0,0,0
Tengnoupal,3012,4342.84,121,353.45,2,6.59,0,0,0,0,0,0
Thoubal,373,1014.65,2311,3425.51,2,10.02,15,34.67,0,0,2,4.32
Ukhrul,3162,6927.14,11,42.56,0,0,0,0,1,7.62,0,0
