District,AH,Fishery,Fishery,Fishery
Bishnupur,0,0,14,14
Chandel,0,0,0,0
Churachandpur,0,0,0,0
Imphal East,10,0,0,0
Imphal West,4,1.6,20,20
Jiribam,0,0,0,0
Kakching,0,5,2,2
Kamjong,0,0,0,0
Kangpokpi,0,0,0,0
Noney,13,0,0,0
Pherzawl,0,0,0,0
Senapati,0,0,0,0
Tamenglong,0,0,0,0
Tengnoupal,0,0,0,0
Thoubal,2,0,0,0
Ukhrul,0,0,0,0
