District,Agriculture (NPS) No.,Amt,Msme (NPS) No.,Exp Credit (NPS) No.,Education (NPS) No.,Housing (NPS) No.,Personal Loans under NPS No.,Others NPS No.
Bishnupur,0,25.09,0,0,0,14,39,15
Chandel,0,17.8,0,0,0,16,5,17
Churachandpur,6,211.33,0,0,0,30,97,164
Imphal East,0,1424.37,0,0,0,59,196,775
Imphal West,1,4502.48,0,0,0,206,527,2700
Jiribam,0,15.94,0,0,0,0,33,20
Kakching,0,1.91,0,0,0,14,40,1
Kamjong,0,0,0,0,0,0,2,0
Kangpokpi,0,27.9,0,0,0,5,8,7
Noney,0,4,0,0,0,0,2,2
Pherzawl,0,0,0,0,0,0,1,0
Senapati,0,99.42,0,0,0,34,60,32
Tamenglong,0,0,0,0,0,0,13,0
Tengnoupal,0,54.05,0,0,0,8,33,12
Thoubal,0,502.98,0,0,0,40,117,401
Ukhrul,0,0,0,0,0,1,99,0
