District,Sl.No.,Name of Block,Name of Bank
Jiribam,1,Borobekra,MSCB
Kangpokpi,5,Kanchup Geljang,SBI
Ukhrul,6,Jessami,SBI
Kamjong,7,Sahanphung,BOI
Tengnoupal,8,Kangbarol,Canara
Churachandpur,11,Sangdong,UBI
Noney,12,Haochong,HDFC
