District,PMEGP NPA Amt,PMEGP NPA No.,PMEGP O/S Amt,PMEGP O/S No.,PMEGP Disbursed Amt (CY),PMEGP Disbursed No. (CY),PMEGP Sanction Amt (CY),PMEGP Sanction No. (CY)
East Garo Hills,38.57,100,450.16,217,4.01,14,113.24,35
East Jaintia Hills,4.47,12,247.39,71,23.95,7,63.43,8
East Khasi Hills,23.44,524,5139.25,1298,626.67,130,1167.43,166
Eastern West Khasi Hills,10.89,24,252.74,89,11.42,7,19.19,5
North Garo Hills,33.53,100,490.06,224,18.22,14,65.91,10
Ri Bhoi,22.37,149,1056.9,399,150.16,72,231.52,56
South Garo Hills,41.97,136,501.44,206,17.54,8,13.5,3
South West Garo Hills,36.53,107,597.16,242,21.19,11,27.04,10
South West Khasi Hills,11.83,25,335.98,137,27.85,21,60.32,11
West Garo Hills,24.91,270,2550.44,769,179.3,48,508.45,95
West Jaintia Hills,13.11,96,1191.29,352,417.66,109,469.3,83
West Khasi Hills,29.95,125,470.47,221,39.5,21,65.82,13
