district,% Amt. NPA NULM,Amt. NPA NULM,No. NPA NULM,Amt. O/S NULM,No. O/S NULM,rent Total Disb Amount NULM Year Cur-,Disb rent Total NULM No. Year Cur-,of SHG ciary Beneif- No. Women,Amt. SHG Women,No. SHG Women,of SHG ciary Beneif- No.,Amt SHG,No. SHG,No. ciary Beneif- of Sep-G,Amt. Sep-G,No Sep-G,Amt Sep-I,No. Sep-I
East Garo Hills,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East Jaintia Hills,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East Khasi Hills,51.91,11.96,19,23.04,28,3.61,3,2,1.91,2,2,1.91,2,0,0,0,1.7,1
Ri Bhoi,0,0.14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Garo Hills,44.77,18.95,17,42.33,46,14.06,12,0,0,0,0,0,0,0,0,0,14.06,12
West Khasi Hills,0,0,0,0.24,1,0,0,0,0,0,0,0,0,0,0,0,0,0
