District,Outstanding No.,Outstanding Amt,CY Disbursed No.,CY Disbursed Amt
East Garo Hills,5701,10450.64,1024,1946.5
East Jaintia Hills,2776,9695.98,902,2559.15
East Khasi Hills,66317,173128.67,15580,32363.42
Eastern West Khasi Hills,6301,6837.56,871,827.24
North Garo Hills,3028,6330.68,323,536.72
Ri Bhoi,26888,44670.83,6554,7540.17
South Garo Hills,1521,5707.09,251,669.78
South West Garo Hills,3999,6388.93,502,721.12
South West Khasi Hills,2303,4001.86,315,611.32
West Garo Hills,18118,40672.97,6775,7315.79
West Jaintia Hills,10361,22440.29,2106,4454.7
West Khasi Hills,5475,9065.01,796,1428.78
