District,Total Agri O/S Amt,Total Agri O/S No.,Ancillary Amt,Ancillary No.,Agri Infra Amt,Agri Infra No.,Farm Term Loan Credit Amt,Farm Term Loan Credit No.,Farm Crop Credit Amt,Farm Crop Credit No.
East Garo Hills,5815.63,5261,129.47,199,3814.54,1855,90.6,98,1781.02,3109
East Jaintia Hills,5008.43,2822,209.07,158,3380.31,893,573.43,415,845.62,1356
East Khasi Hills,109799.71,29624,3980.46,782,88152.4,1482,3408.41,5379,14258.44,21981
Eastern West Khasi Hills,4851.13,7714,12.96,7,1028.81,301,339.92,439,3469.44,6967
North Garo Hills,4180.33,6153,88.14,95,1947.73,1970,28.97,24,2115.49,4064
Ri Bhoi,26525.55,34907,817.2,827,5649.2,2378,1428.61,2906,18630.54,28796
South Garo Hills,3127.48,3313,77.72,91,1923.27,1385,141.95,171,984.54,1666
South West Garo Hills,4992.27,7791,50.63,46,2566.58,2618,306.81,872,2068.25,4255
South West Khasi Hills,2584.74,3051,89.32,87,958.96,420,139.83,120,1396.63,2424
West Garo Hills,13344,14967,692.67,263,6806,3616,1300.27,3269,4545.06,7819
West Jaintia Hills,18586.82,7124,1050.51,193,13396.45,638,929.49,1461,3210.37,4832
West Khasi Hills,6247.39,7533,114.41,196,2217.01,940,84.3,90,3831.67,6307
