district,OPS Total Amount O/S,O/S OPS No. Total,Other Amt. PS,No. Other PS,able Renew- Amt.,No. Renewable,Amt. Infra Social,No. Infra Social,PS Amt. Housing,PS No. Housing,PS Amt. Education,PS No. Education,Amt. Export,No. Export
East Garo Hills,950.36,1573,349.31,1456,0,0,17.97,6,472.86,72,110.22,39,0,0
East Khasi Hills,49094.32,22972,6497.52,17692,5.38,1,112.41,34,32575.4,3103,9903.61,2142,0,0
Ri Bhoi,9552.1,3361,604.37,2283,0.45,1,10.81,5,8118.57,767,817.9,305,0,0
West Garo Hills,6325.3,3511,626.71,2647,0,0,81.06,20,4975.75,599,641.78,245,0,0
West Khasi Hills,1369.84,252,66.68,17,0,0,2.61,1,1099.01,137,201.54,97,0,0
