District,NULM NPA Amt,NULM NPA No.,NULM O/S Amt,NULM O/S No.,NRLM NPA Amt,NRLM NPA No.,NRLM Irregular A/C Amt,NRLM Irregular A/C No.,NRLM O/S Amt,NRLM O/S No.
East Garo Hills,0,0,0,0,40.65,147,5.56,27,655.83,698
East Jaintia Hills,0,0,0,0,10.69,8,10.69,8,809.96,757
East Khasi Hills,11.96,19,23.04,28,28.63,52,8.68,10,2135.83,2040
Eastern West Khasi Hills,0,0,0,0,20.11,33,11.03,10,1332.31,838
North Garo Hills,0,0,0,0,98.47,241,6.6,26,408.29,557
Ri Bhoi,0.14,1,0,0,35.92,48,25.06,33,1405.11,1422
South Garo Hills,1.31,1,3.92,5,89.02,132,22.98,38,368.12,403
South West Garo Hills,0,0,0,0,18.43,32,14.49,27,576.71,609
South West Khasi Hills,0,0,0,0,8.15,9,6.24,3,729.42,573
West Garo Hills,18.95,17,42.33,46,166.76,258,47.43,90,1827.89,1697
West Jaintia Hills,6.21,4,17.49,12,26.03,28,16.83,16,1454.65,1382
West Khasi Hills,0,0,0.24,1,13.62,17,13.24,15,943.64,734
