District,Inactive CSPs,Active RuPay Card in PMJDY,First Time Active RuPay Card,Aadhaar Authenticated SB Accounts,RuPay Card Issued in KCC
East Garo Hills,5,12672,12129,15210,634
East Jaintia Hills,7,24302,14957,7085,17
East Khasi Hills,154,98068,65970,92518,5428
Eastern West Khasi Hills,3,5522,1409,1265,770
North Garo Hills,1,19579,19324,13477,670
Ri Bhoi,6,28943,15421,12276,7637
South Garo Hills,1,8246,7654,10134,58
South West Garo Hills,5,20200,19384,30879,568
South West Khasi Hills,0,7276,1624,1368,365
West Garo Hills,5,55493,50404,66040,1116
West Jaintia Hills,15,20446,8937,16009,633
West Khasi Hills,10,16457,6129,2694,2463
