district,Tot Minority Loan Amt. O/S to,O/S Loan No. Minority to Tot,JAINS Amt.,No. JAINS,Amt. TRIANS ZORAS-,No. TRIANS ZORAS-,Amt. SIKHS,No. SIKHS,Amt. DHISTS BUD-,No DHISTS BUD-,Amt. LIMS MUS-,No LIMS MUS-,Amt TIANS CHRIS-,No. TIANS CHRIS-
East Garo Hills,818.14,522,0,0,0,0,1.54,4,12.25,1,277.32,145,527.03,372
East Jaintia Hills,7406.96,3544,30.35,4,0,0,5.54,4,30.41,6,972.94,180,6367.72,3350
East Khasi Hills,120297.41,48174,247.56,18,0,0,1622.62,593,658.08,158,9643.09,2051,108126.06,45354
North Garo Hills,559.45,272,0,0,0,0,0,0,0,0,152.41,37,407.04,235
Ri Bhoi,27614.44,16009,161.45,12,1.81,1,2137.33,40,216.95,38,11933.16,2180,13163.74,13738
South Garo Hills,677.9,441,8.18,1,0,0,0.28,1,0,0,241.12,43,428.32,396
West Garo Hills,18935.27,9861,18.64,4,0,0,90.23,20,41.2,15,9076,3630,9709.2,6192
West Jaintia Hills,19564.37,8370,1.39,1,0,0,6.13,2,0.6,2,212.87,76,19343.38,8289
West Khasi Hills,8847.18,5854,0,0,0,0,12.2,7,10.16,7,325.73,158,8499.09,5682
