district,Name of Sch. Comm. Bank selected for allotment of villages with < 2000 population,No. of alloted villages,"Out of Roadmap prepared for less than 2000, No. of villages where banking outlet opened upto the end of the reporting Quarter"
Aizawl,SBI,2,0
Champhai,SBI,26,0
Kolasib,SBI,7,0
Lawngtlai,SBI,60,0
Lunglei,SBI,43,0
Mamit,SBI,25,0
Saiha,SBI,11,0
Serchhip,SBI,5,1
