district,Agriculture NPS,Education NPS,Housing NPS,Personal Loan,Other NPS,Total NPS O/S,Total NPS NPA
Anjaw,2,0,0,111,563,676,8
Changlang,14,0,9,968,3880,4871,180
Dibang Valley,8,0,0,53,458,519,54
East Kameng,3,0,188,547,2203,2941,156
East Siang,15,1,147,2202,8053,10418,257
Kamle,15,0,0,45,224,284,15
Kra Daadi,10,0,3,136,645,794,43
Kurung Kumey,2,0,2,109,930,1043,97
Lepa Rada,20,0,79,374,1304,1777,93
Lohit,6,1,18,853,2729,3607,86
Longding,13,0,18,366,1756,2153,44
Lower Dibang Valley,14,0,10,837,3622,4483,97
Lower Siang,16,0,134,243,1292,1685,19
Lower Subansiri,18,0,96,1030,3868,5012,465
Namsai,21,0,18,771,2841,3651,206
Pakke Kessang,5,0,5,63,370,443,6
Papum Pare,49,75,2012,10021,31235,43392,1595
Shi Yomi,0,0,2,27,216,245,29
Siang,1,0,3,170,439,613,9
Tawang,16,0,23,676,2924,3639,71
Tirap,6,0,10,715,2624,3355,65
Upper Siang,10,0,0,284,1188,1482,31
Upper Subansiri,19,0,189,742,2918,3868,160
West Kameng,19,0,81,1235,5113,6448,86
West Siang,7,0,247,960,3853,5067,99
