district,Dep Rural,Dep Semi-Urban,Dep Urban,Total Deposit,Adv Rural,Adv Semi-Urban,Adv Urban,Total Advances,CDR Rural,CDR Semi Urban,CDR Urban,Overall CD Ratio
Anjaw,10980.96,0.0,0.0,10980.96,3490.04,0.0,0.0,3490.04,31.78,,0.0,31.78
Changlang,80069.1,2590.96,0.0,82660.06,22008.22,500.05,0.0,22508.27,27.49,19.3,0.0,27.23
Dibang Valley,23829.24,1675.52,0.0,25504.76,2846.83,272.71,0.0,3119.54,11.95,16.28,0.0,12.23
East Kameng,27.69,27804.22,0.0,27831.91,77.84,17682.79,0.0,17760.63,281.11,63.6,0.0,63.81
East Siang,37623.24,128616.3,0.0,166239.54,9743.66,50751.68,0.0,60495.34,25.9,39.46,0.0,36.39
Kamle,3082.32,0.0,0.0,3082.32,1488.98,0.0,0.0,1488.98,48.31,,0.0,48.31
Kra Daadi,7196.29,0.0,0.0,7196.29,4001.88,0.0,0.0,4001.88,55.61,,0.0,55.61
Kurung Kumey,10984.97,3332.32,0.0,14317.29,4594.42,1710.69,0.0,6305.11,41.82,51.34,0.0,44.04
Lepa Rada,28713.86,1644.37,0.0,30358.23,9407.17,1331.41,0.0,10738.58,32.76,80.97,0.0,35.37
Lohit,8698.53,41162.18,0.0,49860.71,4020.13,16691.44,0.0,20711.57,46.22,40.55,0.0,41.54
Longding,16827.78,0.0,0.0,16827.78,11920.5,0.0,0.0,11920.5,70.84,,0.0,70.84
Lower Dibang Valley,11392.73,61226.31,0.0,72619.04,1991.17,16778.81,0.0,18769.98,17.48,27.4,0.0,25.85
Lower Siang,25384.24,0.0,0.0,25384.24,12464.55,0.0,0.0,12464.55,49.1,,0.0,49.1
Lower Subansiri,15586.56,65818.23,0.0,81404.79,6918.97,25796.16,0.0,32715.13,44.39,39.19,0.0,40.19
Namsai,36130.42,27260.4,0.0,63390.82,14194.88,12244.78,0.0,26439.66,39.29,44.92,0.0,41.71
Pakke Kessang,3592.83,0.0,0.0,3592.83,2795.73,0.0,0.0,2795.73,77.81,,0.0,77.81
Papum Pare,110751.65,1169573.14,0.0,1280324.79,51374.6,368069.73,0.0,419444.33,46.39,31.47,0.0,32.76
Shi Yomi,7079.88,2189.82,0.0,9269.7,1078.13,185.35,0.0,1263.48,15.23,8.46,0.0,13.63
Siang,17991.34,0.0,0.0,17991.34,3823.97,0.0,0.0,3823.97,21.25,,0.0,21.25
Tawang,36027.68,142735.66,0.0,178763.34,5931.01,13389.33,0.0,19320.34,16.46,9.38,0.0,10.81
Tirap,37787.56,2194.88,0.0,39982.44,16561.32,1169.0,0.0,17730.32,43.83,53.26,0.0,44.35
Upper Siang,39378.8,2192.3,0.0,41571.1,7001.97,590.42,0.0,7592.39,17.78,26.93,0.0,18.26
Upper Subansiri,16244.14,32429.79,0.0,48673.93,6319.28,21881.61,0.0,28200.89,38.9,67.47,0.0,57.94
West Kameng,124653.49,398.22,0.0,125051.71,42574.53,1947.91,0.0,44522.44,34.15,489.15,0.0,35.6
West Siang,9377.2,73524.65,0.0,82901.85,2117.66,31833.47,0.0,33951.13,22.58,43.3,0.0,40.95
