District,SC Disb No,SC Disb Amt,SC O/S No,SC O/S Amt,ST Disb No,ST Disb Amt,ST O/S No,ST O/S Amt
Anjaw,1,0.91,12,62.85,234,147.42,762,2458.58
Changlang,49,56.18,208,693.26,327,444.19,2841,11364.02
Dibang Valley,0,0,5,34.48,148,148.41,589,2330.62
East Kameng,2,7.77,27,139.61,161,387.01,1678,8066.79
East Siang,5,13.49,146,636.94,435,1993.68,7761,41828.92
Kamle,2,2,9,10.14,125,124.28,425,990.97
Kra Daadi,1,0.12,18,50.83,253,450.84,984,2975.84
Kurung Kumey,1,1.08,8,55.92,5,6.22,196,1013.22
Lepa Rada,2,5.13,10,33.76,242,463.85,2031,8311.34
Lohit,14,143.35,80,326.33,1460,1894.85,4011,13429.99
Longding,3,1.97,23,143.53,18,78.48,286,1565.23
Lower Dibang Valley,62,89.9,138,391.11,403,925.96,2064,8177.78
Lower Siang,3,3.77,45,265.1,158,508.03,1331,6563.36
Lower Subansiri,0,0,99,343.85,217,861.2,3886,20005.85
Namsai,44,79.99,146,506.05,746,3441.88,3820,16501.76
Pakke Kessang,3,3,25,77.17,102,97.01,587,1554.58
Papum Pare,56,1088.4,682,3413.04,1486,26106.79,29123,209812.46
Shi Yomi,0,0,4,21.22,2,0.78,155,874.75
Siang,0,0,9,31.52,52,137,854,3392.97
Tawang,5,85.18,52,223.7,131,891.8,2208,10834.7
Tirap,3,13.36,38,154.42,311,205.3,1861,7300.33
Upper Siang,0,0,28,122.4,56,137.71,1284,4865.9
Upper Subansiri,3,32.52,53,212.04,396,1047.94,3843,21148.62
West Kameng,10,133.18,110,422.88,533,4196.71,4623,24647.75
West Siang,5,52.23,55,292,607,1443.79,5488,28226.98
