District,Christians,Muslims,Buddhists,Sikhs,Zorastrians,Jains,TOTAL Loan To Minority
Anjaw,19,0,14,0,0,0,33
Changlang,821,39,395,0,0,0,1255
Dibang Valley,50,0,8,1,0,0,59
East Kameng,211,12,29,0,0,0,252
East Siang,161,29,36,1,0,0,227
Kamle,48,1,0,0,0,0,49
Kra Daadi,365,0,5,1,0,0,371
Kurung Kumey,962,1,3,0,0,0,966
Lepa Rada,46,2,27,0,0,0,75
Lohit,112,33,74,3,0,0,222
Longding,2015,10,10,2,0,0,2037
Lower Dibang Valley,539,14,6,1,0,0,560
Lower Siang,322,15,14,2,0,0,353
Lower Subansiri,1190,29,91,14,0,0,1324
Namsai,141,28,1820,3,0,0,1992
Pakke Kessang,102,10,10,1,0,0,123
Papum Pare,3268,196,312,58,0,4,3838
Shi Yomi,20,1,76,0,0,0,97
Siang,13,1,13,0,0,0,27
Tawang,41,21,1723,9,0,0,1794
Tirap,1273,8,33,2,0,0,1316
Upper Siang,92,4,35,0,0,0,131
Upper Subansiri,172,13,3,1,0,1,190
West Kameng,329,44,2992,26,0,0,3391
West Siang,74,21,280,7,0,0,382
