district,CHRISTIANS,MUSLIMS,BUDDHISTS,SIKHS,ZORASTRIANS,JAINS,TOTAL LOAN TO MINORITY
Anjaw,19,0,14,0,0,0,33
Changlang,855,55,439,13,0,0,1362
Dibang Valley,16,3,8,1,0,0,28
East Kameng,972,76,96,5,0,0,1149
East Siang,463,179,68,29,0,1,740
Kamle,48,1,0,0,0,0,49
Kra Daadi,365,0,5,1,0,0,371
Kurung Kumey,973,12,9,0,0,0,994
Lepa Rada,258,20,56,0,0,0,334
Lohit,157,61,157,6,0,0,381
Longding,2015,10,10,2,0,0,2037
Lower Dibang Valley,690,48,63,4,0,0,805
Lower Siang,322,15,14,2,0,0,353
Lower Subansiri,2324,195,148,18,0,0,2685
Namsai,408,67,2065,3,0,0,2543
Pakke Kessang,102,10,10,1,0,0,123
Papum Pare,12108,2129,1768,77,1,8,16091
Shi Yomi,31,1,108,0,0,0,140
Siang,13,1,13,0,0,0,27
Tawang,76,44,2267,28,1,0,2416
Tirap,1616,15,346,2,0,0,1979
Upper Siang,159,10,111,0,0,0,280
Upper Subansiri,371,48,65,1,0,1,486
West Kameng,534,104,4288,38,1,1,4966
West Siang,192,89,316,10,0,2,609
