district,Farm Credit Crop,Farm Credit Term Loan,Agri Infra,Ancillary No,Agri Total
Anjaw,311,3,0,2,316
Changlang,882,477,0,7,1366
Dibang Valley,262,61,0,0,323
East Kameng,188,1675,0,3,1866
East Siang,929,1024,0,45,1998
Kamle,262,37,0,1,300
Kra Daadi,422,70,0,72,564
Kurung Kumey,292,611,0,3,906
Lepa Rada,428,787,0,1,1216
Lohit,1797,843,0,2,2642
Longding,758,61,0,3,822
Lower Dibang Valley,728,391,0,8,1127
Lower Siang,305,239,0,0,544
Lower Subansiri,997,1957,1,13,2968
Namsai,1377,1135,0,122,2634
Pakke Kessang,393,25,0,2,420
Papum Pare,5246,2744,2,220,8212
Shi Yomi,1,81,0,0,82
Siang,107,188,0,1,296
Tawang,437,177,0,9,623
Tirap,617,1330,0,1,1948
Upper Siang,176,348,0,1,525
Upper Subansiri,729,1035,0,14,1778
West Kameng,1114,912,1,13,2040
West Siang,705,539,4,7,1255
