District,During the Quarter Savings Linked,During the Quarter Credit Linked,Current FY Savings Linked,Current FY Credit Linked,SHG O/S,SHG NPA,SHG NPA Pct
Anjaw,89,0,89,3,3,0,0
Changlang,1016,0,1014,8,9,1,1.32
Dibang Valley,25,0,25,0,0,0,0
East Kameng,198,0,182,1,34,4,34.89
East Siang,40,6,40,6,29,0,0
Kamle,53,0,53,0,226,0,0
Kra Daadi,207,1,207,14,15,0,0
Kurung Kumey,107,0,106,2,16,1,6.06
Lohit,117,1,116,3,35,0,0
Longding,292,0,292,0,1,0,0
Lower Dibang Valley,20,1,19,1,31,0,0
Lower Siang,11,3,11,4,13,0,0
Lower Subansiri,41,2,40,4,104,4,2.11
Namsai,31,5,31,9,193,26,7.12
Pakke Kessang,99,0,99,1,2,0,0
Papum Pare,114,6,84,27,160,30,22.65
Shi Yomi,5,0,4,0,5,1,21.87
Siang,91,1,91,15,46,0,0
Tawang,195,0,195,0,13,0,0
Tirap,631,0,631,2,2,0,0
Upper Siang,46,0,45,0,3,0,0
Upper Subansiri,195,3,193,3,69,0,0
West Kameng,313,0,313,22,39,1,10.76
West Siang,28,2,24,2,19,0,0
