District,Rural No,Urban No,Male No,Female No,Total PMJDY No.,No of Zero Balance A/c,Amt Deposits held in the A/c,No of Rupay Card Issued,No of Rupay Card Activated,No of Aadhaar Seeded
Anjaw,1689,0,734,955,1689,52,178.31,1490,633,798
Changlang,46099,693,21045,25741,46786,2827,1790.54,43513,25170,13669
Dibang Valley,466,30,270,226,496,28,243.55,358,34,260
East Kameng,4110,10375,6520,7961,14481,1156,798.36,10613,5585,6106
East Siang,33931,23334,26202,31391,57593,6916,3206.55,48683,26088,16893
Kamle,1405,0,533,872,1405,20,109.5,1257,156,696
Kra Daadi,2946,0,1101,1843,2944,36,216.55,3474,1014,1115
Kurung Kumey,2975,918,1816,2074,3890,578,365.94,3363,1445,1272
Lepa Rada,2702,479,1524,1653,3177,163,348.06,2309,1524,732
Lohit,4227,7324,5039,6510,11549,1001,534.71,10122,5080,5610
Longding,10811,0,3664,7146,10810,310,478.13,10386,4637,5049
Lower Dibang Valley,3798,10399,6628,7569,14197,1127,760.52,13101,4883,7261
Lower Siang,28721,0,13575,15144,28719,6198,746.74,16537,12126,6570
Lower Subansiri,6108,5688,5250,6539,11789,401,1197.09,10689,5149,3975
Namsai,12403,16470,14240,14629,28869,1261,1340.85,26358,14643,19259
Pakke Kessang,397,0,204,193,397,14,23.73,255,44,185
Papum Pare,28813,26765,27990,33583,61573,5594,4166.78,52769,32528,27252
Shi Yomi,1585,0,743,842,1585,127,273.23,1820,925,516
Siang,4962,0,2656,2303,4959,144,514.22,3695,3192,1736
Tawang,3848,1124,2657,2314,4971,346,725.11,4017,1887,2614
Tirap,15088,0,6267,8815,15082,731,976.78,14939,6668,6537
Upper Siang,4151,253,2050,2354,4404,194,448.49,2072,943,2903
Upper Subansiri,4913,16074,9904,11069,20973,2098,1864.27,18933,7519,8489
West Kameng,15475,47,7074,8446,15520,894,1303.2,12785,5452,6914
West Siang,4310,10316,8455,8319,16774,1238,1469.8,10905,4537,6883
