District,Number of operative CASA,Number of Aadhaar seeded CASA,Number of Authenticated CASA
Anjaw,13539,5616,4525
Changlang,127643,52669,62928
Dibang Valley,7871,4406,4934
East Kameng,72774,39964,37468
East Siang,205189,100058,42988
Kamle,7096,3619,2502
Kra Daadi,11514,5517,3146
Kurung Kumey,29784,21479,19638
Lepa Rada,26694,16394,10762
Lohit,56367,24868,22373
Longding,35981,10496,13381
Lower Dibang Valley,59648,35710,26096
Lower Siang,102387,32528,6196
Lower Subansiri,79223,40282,27183
Namsai,85216,56447,43326
Pakke Kessang,4697,1964,1428
Papum Pare,409749,197479,169695
Shi Yomi,9967,5949,5495
Siang,20767,11174,3636
Tawang,57227,20681,20875
Tirap,56583,27588,26630
Upper Siang,45695,30663,19277
Upper Subansiri,92709,56368,33466
West Kameng,86851,36821,30751
West Siang,87858,48075,25076
