District,Sishu,Kishore,Tarun,Total Mudra,MUDRA NPA Amt. %
Anjaw,3,81,4,88,3.29
Changlang,368,455,26,849,1.74
Dibang Valley,2,115,8,125,0
East Kameng,120,85,23,228,66.43
East Siang,184,474,199,857,11.08
Kamle,61,156,14,231,18.76
Kra Daadi,290,178,23,491,26.44
Kurung Kumey,67,158,10,235,43.71
Lepa Rada,126,226,18,370,5.59
Lohit,108,386,57,551,5.57
Longding,24,211,15,250,5.71
Lower Dibang Valley,121,288,68,477,2.31
Lower Siang,57,252,21,330,3.18
Lower Subansiri,225,436,126,787,18.28
Namsai,113,586,85,784,20.55
Pakke Kessang,47,269,4,320,5.7
Papum Pare,1104,1491,841,3436,22.91
Shi Yomi,0,1,8,9,60.31
Siang,33,106,14,153,10.9
Tawang,152,511,140,803,6.38
Tirap,95,249,21,365,2.47
Upper Siang,59,224,17,300,5.12
Upper Subansiri,149,176,79,404,36.16
West Kameng,319,873,257,1449,3.53
West Siang,209,349,94,652,8.34
