District,Number of Rural Branches,No of camps conducted during the Quarter
Anjaw,2,1
Changlang,7,1
Dibang Valley,2,1
East Kameng,2,1
East Siang,6,1
Kamle,1,0
Kra Daadi,1,1
Kurung Kumey,4,2
Lepa Rada,0,0
Lohit,3,4
Longding,3,0
Lower Dibang Valley,3,2
Lower Siang,0,0
Lower Subansiri,6,8
Namsai,3,6
Pakke Kessang,1,0
Papum Pare,13,22
Shi Yomi,1,0
Siang,4,1
Tawang,6,1
Tirap,4,1
Upper Siang,7,3
Upper Subansiri,5,1
West Kameng,14,1
West Siang,11,2
