District,Small and Marginal Farmers,Scheduled Caste,Scheduled Tribes,DRI Scheme,Self Help Groups,Women Beneficiaries,Minority Communities,PMJDY,Others,Total Weaker Section
Anjaw,312,1,325,0,3,74,1,0,0,716
Changlang,980,63,744,0,8,180,208,3,19,2205
Dibang Valley,250,0,258,0,0,62,2,0,0,572
East Kameng,196,1,180,0,3,47,10,0,2,439
East Siang,1049,14,1100,10,29,136,312,79,139,2868
Kamle,299,3,264,0,0,87,16,0,3,672
Kra Daadi,459,4,331,0,15,156,248,0,89,1302
Kurung Kumey,274,0,2,1,14,91,277,0,2,661
Lepa Rada,576,2,505,0,12,106,5,0,8,1214
Lohit,1760,18,1700,0,40,605,10,0,19,4152
Longding,759,3,10,0,1,112,742,1,39,1667
Lower Dibang Valley,716,53,520,0,31,224,244,0,4,1792
Lower Siang,455,0,359,0,13,72,78,0,19,996
Lower Subansiri,914,16,490,3,87,142,428,58,51,2189
Namsai,1517,47,1672,0,133,301,957,0,37,4664
Pakke Kessang,142,3,365,0,2,106,16,0,15,649
Papum Pare,4456,127,5933,45,118,1479,3275,209,1189,16831
Shi Yomi,5,0,20,0,0,0,9,0,0,34
Siang,188,0,224,0,46,20,1,0,6,485
Tawang,522,9,807,2,13,57,828,106,17,2361
Tirap,584,2,411,0,2,164,185,1,4,1353
Upper Siang,319,2,286,0,2,51,3,0,37,700
Upper Subansiri,714,8,470,0,64,81,14,0,44,1395
West Kameng,1103,11,1514,16,35,181,1397,214,52,4523
West Siang,879,8,1231,11,19,206,86,78,19,2537
