District,Enrolment under PMJJBY,eligible cases under PMJJBY,renewals under PMJJBY,Enrolment under PMSBY,eligible cases under PMSBY,renewals under PMSBY,Enrolment under APY,Total Enrolment No.
Anjaw,4177,7387,929,1301,10689,1275,26,5504
Changlang,27522,48025,6361,20214,75681,19097,2613,50349
Dibang Valley,2682,3033,620,1006,4153,890,52,3740
East Kameng,6637,27043,1750,4013,36831,3480,668,11318
East Siang,28256,65227,7619,31639,88965,25802,3038,62933
Kamle,1748,3388,563,1112,5162,1023,7,2867
Kra Daadi,2392,4971,1049,1431,7796,1335,19,3842
Kurung Kumey,2928,5512,695,1440,8073,966,107,4475
Lepa Rada,4286,8949,1271,2495,12744,2341,243,7024
Lohit,20668,24392,4695,12406,34787,10941,619,33693
Longding,4307,16118,946,3873,26185,3784,209,8389
Lower Dibang Valley,11417,18887,3115,7007,26932,6297,1229,19653
Lower Siang,13768,19726,3151,12506,27601,11455,2259,28533
Lower Subansiri,11787,34796,3759,8850,46398,6692,526,21163
Namsai,26829,30166,9311,22095,40509,19510,5762,54686
Pakke Kessang,446,2485,111,225,5338,176,20,691
Papum Pare,58529,178116,18341,46563,230313,33505,6863,111955
Shi Yomi,618,3414,146,502,4623,488,38,1158
Siang,2133,7879,774,2472,10933,2230,212,4817
Tawang,15617,32275,3575,6442,41698,5152,636,22695
Tirap,7110,18888,1736,3981,28603,3338,199,11290
Upper Siang,6251,13460,2815,4793,18745,4400,131,11175
Upper Subansiri,14849,28380,5012,10223,38728,9163,352,25424
West Kameng,26430,50754,5811,13683,68619,10458,1711,41824
West Siang,9630,34722,2637,8379,47372,5467,909,18918
