District,Export Credit,Education (PS),Housing (PS),Social Infrastructure,Renewable Energy,Informal Credit,Other Priority Sector Total,Loans to weaker
Anjaw,0,0,0,0,0,0,0,4
Changlang,0,1,1,0,0,0,2,103
Dibang Valley,0,0,0,0,0,0,0,19
East Kameng,0,0,1,0,0,0,1,11
East Siang,0,0,3,0,0,0,3,58
Kamle,0,0,0,0,0,0,0,13
Kra Daadi,0,0,0,0,0,0,0,64
Kurung Kumey,0,0,0,0,0,0,0,31
Lepa Rada,0,0,0,0,0,0,0,143
Lohit,0,2,0,0,0,0,2,220
Longding,0,1,0,0,0,0,1,126
Lower Dibang Valley,0,1,0,0,0,0,1,74
Lower Siang,0,0,0,0,0,0,0,18
Lower Subansiri,0,1,8,0,0,0,9,111
Namsai,0,3,0,0,0,0,3,143
Pakke Kessang,0,0,0,0,0,0,0,7
Papum Pare,0,15,19,2,0,0,36,468
Shi Yomi,0,0,0,0,0,0,0,0
Siang,0,0,0,0,0,0,0,9
Tawang,0,0,0,0,0,0,0,66
Tirap,0,1,0,0,0,0,1,137
Upper Siang,0,0,0,0,0,0,0,2
Upper Subansiri,0,1,0,0,0,0,1,53
West Kameng,0,0,1,0,0,0,1,221
West Siang,0,0,1,0,0,0,1,148
