District,Housing Loan (PS) O/S,Housing Loan (NPS) O/S,Rural Housing Loan O/S,Housing Loan Eligible under PMAY O/S,Current Year Disbursed under PMAY,PMAY O/S
Anjaw,1,0,5,0,0,0
Changlang,23,18,12,0,0,0
Dibang Valley,2,0,0,0,0,0
East Kameng,26,188,0,0,0,0
East Siang,79,155,26,0,0,0
Kamle,1,0,1,0,0,0
Kra Daadi,0,3,1,0,0,0
Kurung Kumey,15,2,1,0,0,0
Lepa Rada,33,79,54,2,0,2
Lohit,18,18,5,0,0,0
Longding,0,18,9,0,0,0
Lower Dibang Valley,8,8,3,0,0,0
Lower Siang,24,134,88,0,0,0
Lower Subansiri,60,99,31,0,0,0
Namsai,23,18,8,0,0,0
Pakke Kessang,16,5,20,1,0,1
Papum Pare,580,1864,340,0,0,4
Shi Yomi,2,2,2,0,0,0
Siang,1,3,4,0,0,0
Tawang,17,23,5,0,0,0
Tirap,17,12,11,0,0,0
Upper Siang,4,1,1,0,0,0
Upper Subansiri,49,190,14,0,0,0
West Kameng,42,78,45,0,0,0
West Siang,74,259,19,3,0,3
