District,Target (23-24),Sanctioned,Disbursed,Outstanding,NPA,PMEGP NPA Pct
Anjaw,5,0,0,3,1,5.72
Changlang,6,0,0,13,4,11.46
Dibang Valley,5,0,0,0,0,0
East Kameng,12,7,0,5,3,25.8
East Siang,20,9,0,24,17,61.53
Kamle,5,4,1,16,12,74.28
Kra Daadi,5,0,0,27,15,42.91
Kurung Kumey,5,0,0,43,34,68.5
Lepa Rada,5,5,1,16,4,15.5
Lohit,14,1,4,9,1,17.77
Longding,5,0,0,7,2,18.06
Lower Dibang Valley,12,1,1,4,2,9.31
Lower Siang,6,3,0,11,0,0
Lower Subansiri,26,27,4,65,34,35.87
Namsai,14,0,0,50,9,24.5
Pakke Kessang,5,0,0,2,1,39.57
Papum Pare,108,70,51,335,109,23.46
Shi Yomi,5,0,0,13,10,60.36
Siang,6,3,0,16,10,41.79
Tawang,12,7,5,22,2,9.21
Tirap,6,0,0,11,6,39.24
Upper Siang,7,0,0,10,4,29.91
Upper Subansiri,12,36,0,37,21,56.32
West Kameng,15,15,8,77,9,0.97
West Siang,13,4,0,32,13,27.78
